## Virus	Name	Coverage
22855216	Pseudomonas phage phi-12 segment S	0.0585440865994922
134288688	Burkholderia phage phiE12-2 chromosome	0.054693395108115
530787156	Bacillus phage Troll	0.051090201648236
269838908	Morganella phage MmP1	0.0477189712030543
557307743	Mycobacterium phage Fredward	0.0445651203990328
389059862	Cronobacter phage CR3	0.0388556446241074
418489303	Enterobacter phage EcP1	0.0362751158015844
543170916	Mycobacterium phage PhrostyMug	0.0338620610199335
294661423	Klebsiella phage KP15	0.0316058657650702
148747798	Burkholderia phage phi644-2 chromosome	0.0294965720945354
730984715	Shigella phage pSs-1	0.0256819052695189
82700933	Pseudomonas phage EL	0.0239595541176371
526177484	Cellulophaga phage phi17:1	0.0223500804550588
712913311	Mycobacteriophage Taj	0.0208462596813925
31415740	Bacillus prophage phBC6A51	0.0194413184873085
428782254	Enterobacterial phage mEp234	0.0181289073606365
159192286	Enterobacteria phage PRD1	0.0169030747249018
194302947	Mycobacterium phage Boomer	0.0146891838072976
568191126	Bacillus phage Staley	0.013691000301002
9628600	Haemophilus phage HP1	0.0127591031033173
30039743	Vibrio phage VGJphi	0.0118891932117258
77999988	Lactobacillus phage Lc-Nu	0.00961237933562244
326781756	Synechococcus phage S-SM2	0.00895262502157816
712914056	Mycobacteriophage RedRock	0.00722746900946368
371671319	Staphylococcus phage S24-1	0.00626237961707331
23455771	Lactobacillus phage phig1e	0.00542343170048358
414088861	Caulobacter phage CcrRogue	0.00504613889236644
712913690	Mycobacterium phage Soto	0.00469449688462106
508177859	Mycobacterium phage PegLeg	0.00436680245580726
219681191	Salmonella enterica bacteriophage SE1	0.00406146276813881
47842848	Burkholderia phage Bcep43	0.00377698838994403
388570630	Clostridium phage PhiS63	0.00351198674800685
327197643	Brochothrix phage A9	0.00326515598399487
408905841	Escherichia phage P13374	0.00303527919068733
23455713	Enterobacteria phage FI	0.00262191253723236
725950304	Escherichia phage ECML-4	0.00210290580335004
206599795	Mycobacterium phage Troll4	0.00195331438445288
422935955	Bacillus phage BCD7	0.00181412284795123
237651460	Roseophage EE36P1	0.00168462501471809
66396113	Staphylococcus phage 55	0.00156416150949399
162290107	Staphylococcus phage phiMR11	0.00145211673516165
282598772	Clavibacter phage CMP1	0.00134791603767296
460042674	Synechococcus phage S-RIM8 A.HR1	0.00125102304992832
28876437	Streptococcus prophage 315.6	0.00116093720360705
110804020	Clostridium phage phiSM101	0.00107719139860577
89152533	Pseudomonas phage PA11	0.000999349820361505
9635467	Vibrio phage VfO3K6	0.000927005895919974
9630464	Bacteriophage N15	0.00085978038015929
448260543	Klebsiella phage KP27	0.000797319564096734
422937778	Salmonella phage PhiSH19	0.000739293597693543
312281391	Prochlorococcus phage P-SSM4	0.000685394920031232
514361045	Serratia phage Eta	0.00063533679016465
431810244	Staphylococcus phage phi5967PVL DNA	0.0005888519123632
281415946	Mycobacterium phage ET08	0.000545691149833903
712913869	Salmonella phage Chi	0.00050562232137969
20065797	Mycobacterium phage Bactobuster	0.000468429075784654
508180091	Mycobacterium phage Phrux	0.000433909839036304
408905842	Propionibacterium phage ATCC29399B_T	0.000401876829794272
282598938	Deftia phage phiW-14	0.000372155138796448
109521840	Mycobacterium phage Pipefish	0.000344581868158341
358356482	Yersinia phage phiR1-37	0.000319005326770367
157310906	Corynebacterium phage P1201	0.00029528427823186
157311135	Streptococcus phage P9	0.000273287237980589
722142241	Idiomarinaceae phage Phi1M2-2	0.000252891816483373
371496125	Planktothrix phage PaV-LD	0.000233984105547752
176120924	Enterobacterio phage MS2	0.000216458104997279
347750411	Burkholderia phage BcepIL02	0.000200215187124633
508178111	Mycobacterium phage SiSi	0.000185163596497951
565323596	Ralstonia phage RSM1	0.000171217982847229
9632857	Pseudoalteromonas phage PM2	0.000158298964899886
194303296	Mycobacterium phage Porky	0.000146332723168183
331028054	Roseobacter phage RDJL Phi 1	0.000135250619816628
423261416	Aeromonas phage CC2	0.000124988843855285
66394870	Staphylococcus phage 85	0.000115488080015495
195661200	Lactobacillus phage Lrm1	0.000106693199768289
18249864	Enterobacteria phage phiP27	9.85529730432355e-05
418489035	Haemophilus phage SuMu	9.10197992968693e-05
170676276	Salmonella phage E1	8.40494566656454e-05
169257155	Salmonella phage Fels-1	7.76008680188694e-05
56693048	Lactobacillus phage LP65	7.16358828025603e-05
168495103	Azospirillum phage Cd	6.61190736360391e-05
118430724	Staphylococcus phage phiNM1	6.10175466894714e-05
269838911	Pseudomonas phage phi2954 segment L	5.63007649328912e-05
29165635	Streptococcus phage DT1	5.19403834056514e-05
66391804	Aeromonas phage 31	4.79100957100109e-05
725915949	Staphylococcus phage phiSa119	4.4185490983914e-05
508178009	Pseudoalteromonas phage RIO-1	4.07439206561334e-05
311993272	Acinetobacter phage Acj9	3.75643743320516e-05
399529119	Staphylococcus phage vB_SepiS-phiIPLA7	3.46273642006116e-05
557307672	Salmonella phage SETP13	3.19148173925666e-05
508179584	Mycobacterium phage Dumbo	2.94099757572514e-05
27311175	Vibrio phage VHML	2.70973025598408e-05
460042372	Pelagibacter phage HTVC019P	2.49623956336089e-05
281306659	Pseudomonas phage phi-2	2.29919065521708e-05
472339167	Cyanophage S-RIM50 isolate RW_29_0704	2.11734654152281e-05
148727181	Xanthomonas phage Xop411	1.9495610868049e-05
9626133	Xanthomonas phage Cf1c	1.79477249999246e-05
374531598	Pseudomonas phage Bf7	1.65199727902461e-05
